payment_id,loan_id,due_date,payment_date,payment_amount,payment_status,penalty_amount
PAY00139,LN3392,2021-12-09,2021-12-10,27887.44,On-time,0.0
PAY00140,LN3392,2022-01-08,2022-01-10,27443.43,On-time,0.0
PAY00141,LN3347,2021-06-29,2021-06-29,9727.1,On-time,0.0
PAY00142,LN2614,2021-06-05,2021-11-30,2046.15,Default,210.75
PAY00143,LN2614,2021-07-05,2021-08-12,2015.75,Late,74.66
PAY00144,LN2614,2021-08-04,2021-08-01,2100.37,On-time,0.0
PAY00145,LN2614,2021-09-03,2021-09-05,2001.48,On-time,0.0
PAY00146,LN1740,2020-10-31,2020-10-31,7347.94,On-time,0.0
PAY00147,LN0114,2020-06-03,2020-06-01,34420.71,On-time,0.0
PAY00148,LN0114,2020-07-03,2020-06-30,33691.87,On-time,0.0
PAY00149,LN1942,2023-04-15,2023-05-19,23003.09,Late,1172.36
PAY00150,LN1942,2023-05-15,2023-05-12,22832.65,On-time,0.0
PAY00151,LN3006,2021-12-10,2021-12-11,64236.97,On-time,0.0
PAY00152,LN2334,2023-08-14,2023-09-25,8363.95,Late,193.47
PAY00153,LN2334,2023-09-13,2023-09-14,8774.45,On-time,0.0
PAY00154,LN2334,2023-10-13,2023-10-10,8515.13,On-time,0.0
PAY00155,LN0979,2020-03-08,2020-03-05,53556.53,On-time,0.0
PAY00156,LN3702,2023-03-02,2023-03-04,25877.54,On-time,0.0
PAY00157,LN2629,2019-09-20,2020-01-14,8943.3,Default,2070.81
PAY00158,LN2629,2019-10-20,2019-11-04,8890.65,Late,351.44
PAY00159,LN3580,2022-02-15,2022-02-12,25730.96,On-time,0.0
PAY00160,LN3580,2022-03-17,2022-03-17,25585.64,On-time,0.0
PAY00161,LN3580,2022-04-16,2022-04-14,25003.57,On-time,0.0
PAY00162,LN3580,2022-05-16,2022-05-13,24944.01,On-time,0.0
PAY00163,LN1214,2023-08-25,2023-08-23,74410.98,On-time,0.0
PAY00164,LN1326,2023-10-11,2023-10-13,3745.8,On-time,0.0
PAY00165,LN1326,2023-11-10,2023-11-25,3717.91,Late,163.75
PAY00166,LN1326,2023-12-10,2023-12-08,3710.62,On-time,0.0
PAY00167,LN2193,2023-01-27,2023-01-26,85232.67,On-time,0.0
PAY00168,LN2193,2023-02-26,2023-02-28,87587.24,On-time,0.0
PAY00169,LN3110,2019-09-30,2019-09-30,5451.44,On-time,0.0
PAY00170,LN3110,2019-10-30,2019-12-11,5396.13,Late,283.85
PAY00171,LN0760,2019-11-25,2019-11-24,4507.89,On-time,0.0
PAY00172,LN0760,2019-12-25,2020-03-22,4459.84,Default,1109.44
PAY00173,LN0760,2020-01-24,2020-01-21,4407.18,On-time,0.0
PAY00174,LN2789,2021-10-12,2021-10-10,17196.45,On-time,0.0
PAY00175,LN2789,2021-11-11,2021-11-08,16929.41,On-time,0.0
PAY00176,LN2789,2021-12-11,2021-12-10,17319.8,On-time,0.0
PAY00177,LN2789,2022-01-10,2022-01-09,17288.14,On-time,0.0
PAY00178,LN3267,2021-06-29,2021-06-29,26955.96,On-time,0.0
PAY00179,LN2947,2019-10-03,2019-09-30,23651.18,On-time,0.0
PAY00180,LN3172,2022-08-06,2022-08-19,78315.27,Late,5817.79
PAY00181,LN1223,2019-10-08,2019-10-16,87456.42,Late,4662.41
PAY00182,LN1822,2022-07-17,2022-07-17,92234.78,On-time,0.0
PAY00183,LN1822,2022-08-16,2022-08-13,92786.31,On-time,0.0
PAY00184,LN1822,2022-09-15,2022-09-15,93930.87,On-time,0.0
PAY00185,LN1822,2022-10-15,2022-10-12,89727.95,On-time,0.0
PAY00186,LN0565,2023-07-08,2023-07-07,15605.35,On-time,0.0
PAY00187,LN0565,2023-08-07,2023-08-08,15836.59,On-time,0.0
PAY00188,LN0565,2023-09-06,2023-09-07,15606.64,On-time,0.0
PAY00189,LN0565,2023-10-06,2023-10-06,15889.02,On-time,0.0
PAY00190,LN0998,2020-07-10,2020-07-09,66827.23,On-time,0.0
PAY00191,LN0998,2020-08-09,2020-08-06,66304.64,On-time,0.0
PAY00192,LN0998,2020-09-08,2020-09-08,67264.09,On-time,0.0
PAY00193,LN0998,2020-10-08,2020-10-08,65705.95,On-time,0.0
PAY00194,LN0635,2020-06-28,2020-08-07,10231.53,Late,183.45
PAY00195,LN3298,2022-07-05,2022-07-06,61920.34,On-time,0.0
PAY00196,LN3298,2022-08-04,2022-08-03,63907.94,On-time,0.0
PAY00197,LN1373,2019-10-22,2020-02-27,6443.99,Default,1301.05
PAY00198,LN0619,2023-09-19,2023-09-18,65402.05,On-time,0.0
PAY00199,LN0221,2024-02-29,2024-02-28,13726.43,On-time,0.0
PAY00200,LN0221,2024-03-30,2024-07-18,14142.5,Default,2688.82
PAY00201,LN0221,2024-04-29,2024-04-29,13906.83,On-time,0.0
PAY00202,LN0449,2021-09-18,2021-09-18,33319.6,On-time,0.0
PAY00203,LN0449,2021-10-18,2021-10-19,34188.09,On-time,0.0
PAY00204,LN0449,2021-11-17,2021-11-19,32781.46,On-time,0.0
PAY00205,LN0449,2021-12-17,2021-12-17,33495.29,On-time,0.0
PAY00206,LN3464,2022-03-22,2022-03-20,8290.79,On-time,0.0
PAY00207,LN0983,2021-03-31,2021-03-28,11643.83,On-time,0.0
PAY00208,LN2245,2022-08-05,2022-09-03,9239.44,Late,680.78
PAY00209,LN2245,2022-09-04,2022-09-05,9274.07,On-time,0.0
PAY00210,LN1697,2024-04-11,2024-04-08,4203.57,On-time,0.0
PAY00211,LN1697,2024-05-11,2024-05-10,4210.25,On-time,0.0
PAY00212,LN1697,2024-06-10,2024-06-12,4308.4,On-time,0.0
PAY00213,LN1697,2024-07-10,2024-07-07,4270.61,On-time,0.0
PAY00214,LN1697,2024-08-09,2024-08-08,4199.07,On-time,0.0
PAY00215,LN1697,2024-09-08,2024-09-09,4338.09,On-time,0.0
PAY00216,LN3787,2024-02-29,2024-02-28,53425.52,On-time,0.0
PAY00217,LN3787,2024-03-30,2024-06-08,53704.18,Default,7339.27
PAY00218,LN2464,2022-02-02,2022-02-04,13904.98,On-time,0.0
PAY00219,LN3072,2020-06-01,2020-05-31,3064.19,On-time,0.0
PAY00220,LN0274,2024-10-26,2024-11-28,18434.33,Late,1326.55
PAY00221,LN0274,2024-11-25,2024-11-26,18437.1,On-time,0.0
PAY00222,LN0274,2024-12-25,2024-12-25,18905.76,On-time,0.0
PAY00223,LN0274,2025-01-24,2025-01-23,19179.73,On-time,0.0
PAY00224,LN0015,2025-01-15,2025-02-10,8572.73,Late,423.44
PAY00225,LN3418,2023-04-08,2023-04-08,22218.9,On-time,0.0
PAY00226,LN0856,2023-06-22,2023-06-24,20970.14,On-time,0.0
PAY00227,LN0856,2023-07-22,2023-07-19,21122.65,On-time,0.0
PAY00228,LN2779,2023-01-31,2023-03-02,34477.54,Late,1631.19
PAY00229,LN2779,2023-03-02,2023-02-27,33915.6,On-time,0.0
PAY00230,LN2779,2023-04-01,2023-03-31,34411.88,On-time,0.0
PAY00231,LN2828,2023-11-27,2023-11-27,15759.4,On-time,0.0
PAY00232,LN2828,2023-12-27,2023-12-28,15506.18,On-time,0.0
PAY00233,LN2828,2024-01-26,2024-01-23,15378.25,On-time,0.0
PAY00234,LN2828,2024-02-25,2024-02-23,15634.62,On-time,0.0
PAY00235,LN2828,2024-03-26,2024-03-27,15522.51,On-time,0.0
PAY00236,LN2828,2024-04-25,2024-04-27,15362.87,On-time,0.0
PAY00237,LN0674,2021-03-02,2021-08-01,14746.64,Default,2374.93
PAY00238,LN0674,2021-04-01,2021-04-01,14309.16,On-time,0.0
PAY00239,LN0674,2021-05-01,2021-04-29,14374.4,On-time,0.0
PAY00240,LN3085,2021-11-27,2021-11-24,55187.17,On-time,0.0
PAY00241,LN3085,2021-12-27,2021-12-26,56094.59,On-time,0.0
PAY00242,LN3085,2022-01-26,2022-01-28,56037.83,On-time,0.0
PAY00243,LN3085,2022-02-25,2022-02-22,57511.78,On-time,0.0
PAY00244,LN3352,2022-12-14,2022-12-14,44191.7,On-time,0.0
PAY00245,LN3352,2023-01-13,2023-01-10,43881.59,On-time,0.0
PAY00246,LN3352,2023-02-12,2023-02-13,44512.41,On-time,0.0
PAY00247,LN3352,2023-03-14,2023-03-14,44332.23,On-time,0.0
PAY00248,LN3352,2023-04-13,2023-04-14,43784.08,On-time,0.0
PAY00249,LN1320,2022-05-16,2022-05-14,36434.75,On-time,0.0
PAY00250,LN1320,2022-06-15,2022-06-16,36074.68,On-time,0.0
PAY00251,LN1320,2022-07-15,2022-07-12,37138.9,On-time,0.0
PAY00252,LN1320,2022-08-14,2022-08-16,37245.49,On-time,0.0
PAY00253,LN1320,2022-09-13,2022-09-14,37398.76,On-time,0.0
PAY00254,LN3522,2020-09-08,2020-09-06,8868.5,On-time,0.0
PAY00255,LN3522,2020-10-08,2020-10-10,9015.65,On-time,0.0
PAY00256,LN3522,2020-11-07,2020-11-07,8751.54,On-time,0.0
PAY00257,LN3522,2020-12-07,2020-12-06,8913.27,On-time,0.0
PAY00258,LN0082,2019-10-26,2019-10-23,8428.26,On-time,0.0
PAY00259,LN1992,2023-03-08,2023-08-11,33146.93,Default,6520.9
PAY00260,LN3136,2020-07-25,2020-07-22,12099.06,On-time,0.0
PAY00261,LN3136,2020-08-24,2020-08-21,11968.74,On-time,0.0
PAY00262,LN3136,2020-09-23,2020-09-20,12414.81,On-time,0.0
PAY00263,LN3136,2020-10-23,2020-10-20,12024.03,On-time,0.0
PAY00264,LN3136,2020-11-22,2020-11-19,11963.7,On-time,0.0
PAY00265,LN3649,2023-10-13,2023-10-20,33018.01,Late,1331.52
PAY00266,LN1855,2024-10-30,2024-10-31,9417.9,On-time,0.0
PAY00267,LN2294,2024-08-19,2024-08-17,49614.32,On-time,0.0
PAY00268,LN2015,2019-08-10,2019-08-09,15798.47,On-time,0.0
PAY00269,LN2015,2019-09-09,2019-09-09,15935.51,On-time,0.0
PAY00270,LN2015,2019-10-09,2019-10-08,15991.14,On-time,0.0
PAY00271,LN2015,2019-11-08,2019-11-09,15856.24,On-time,0.0
PAY00272,LN2015,2019-12-08,2019-12-07,15301.17,On-time,0.0
PAY00273,LN3008,2024-04-27,2024-04-28,130467.98,On-time,0.0
PAY00274,LN3656,2022-12-07,2023-01-07,88600.7,Late,3377.78
PAY00275,LN3656,2023-01-06,2023-01-05,86941.83,On-time,0.0
PAY00276,LN2006,2024-02-28,2024-02-29,2359.88,On-time,0.0
PAY00277,LN1329,2023-04-09,2023-04-10,3253.85,On-time,0.0
PAY00278,LN1329,2023-05-09,2023-05-11,3179.58,On-time,0.0
PAY00279,LN1329,2023-06-08,2023-06-05,3287.52,On-time,0.0
PAY00280,LN1329,2023-07-08,2023-07-07,3170.53,On-time,0.0
PAY00281,LN3683,2020-02-09,2020-02-11,96355.61,On-time,0.0
PAY00282,LN2226,2024-01-18,2024-01-19,4667.14,On-time,0.0
PAY00283,LN2226,2024-02-17,2024-03-24,4787.83,Late,202.33
PAY00284,LN3907,2019-09-12,2019-10-12,11741.04,Late,118.86
PAY00285,LN3907,2019-10-12,2019-10-10,11779.4,On-time,0.0
PAY00286,LN3907,2019-11-11,2019-11-09,11574.03,On-time,0.0
PAY00287,LN3907,2019-12-11,2019-12-08,11396.2,On-time,0.0
PAY00288,LN2764,2019-08-29,2019-09-09,34580.86,Late,1349.59
PAY00289,LN2764,2019-09-28,2019-09-27,34145.59,On-time,0.0
PAY00290,LN2764,2019-10-28,2019-10-25,34652.43,On-time,0.0
PAY00291,LN2764,2019-11-27,2019-11-27,34893.2,On-time,0.0
PAY00292,LN2764,2019-12-27,2019-12-29,34706.4,On-time,0.0
PAY00293,LN3481,2019-04-20,2019-04-18,25775.21,On-time,0.0
PAY00294,LN3481,2019-05-20,2019-05-20,25944.21,On-time,0.0
PAY00295,LN3481,2019-06-19,2019-06-17,26105.75,On-time,0.0
PAY00296,LN3481,2019-07-19,2019-07-20,25748.86,On-time,0.0
PAY00297,LN3481,2019-08-18,2019-08-20,25202.95,On-time,0.0
PAY00298,LN2412,2019-10-08,2019-10-10,45267.58,On-time,0.0
PAY00299,LN2412,2019-11-07,2019-11-07,46105.96,On-time,0.0
PAY00300,LN2412,2019-12-07,2019-12-22,46051.52,Late,3220.76
PAY00301,LN2412,2020-01-06,2020-02-02,47240.86,Late,1478.26
PAY00302,LN2412,2020-02-05,2020-02-03,46367.57,On-time,0.0
PAY00303,LN2412,2020-03-06,2020-03-05,47344.99,On-time,0.0
PAY00304,LN0233,2021-12-03,2021-12-03,21006.26,On-time,0.0
PAY00305,LN0233,2022-01-02,2022-01-01,21283.64,On-time,0.0
PAY00306,LN0233,2022-02-01,2022-02-02,21040.11,On-time,0.0
PAY00307,LN0233,2022-03-03,2022-03-05,21090.23,On-time,0.0
PAY00308,LN3024,2020-02-28,2020-02-28,41433.59,On-time,0.0
PAY00309,LN3024,2020-03-29,2020-08-26,40726.76,Default,9045.29
PAY00310,LN2827,2022-06-04,2022-06-02,3108.39,On-time,0.0
PAY00311,LN2827,2022-07-04,2022-10-04,3144.66,Default,328.0
PAY00312,LN2827,2022-08-03,2022-08-01,3061.39,On-time,0.0
PAY00313,LN2827,2022-09-02,2022-09-10,3158.54,Late,210.72
PAY00314,LN2827,2022-10-02,2022-10-02,3110.44,On-time,0.0
PAY00315,LN3725,2022-07-22,2022-07-24,31493.12,On-time,0.0
PAY00316,LN2476,2022-09-08,2022-10-23,9717.38,Late,223.73
PAY00317,LN2476,2022-10-08,2022-10-05,9983.13,On-time,0.0
PAY00318,LN0276,2019-10-03,2019-10-04,92266.53,On-time,0.0
PAY00319,LN0276,2019-11-02,2019-11-04,91746.64,On-time,0.0
PAY00320,LN0276,2019-12-02,2019-12-04,93001.73,On-time,0.0
PAY00321,LN1572,2020-04-12,2020-08-20,2113.29,Default,427.3
PAY00322,LN1572,2020-05-12,2020-05-10,2178.54,On-time,0.0
PAY00323,LN1572,2020-06-11,2020-06-10,2122.63,On-time,0.0
PAY00324,LN1572,2020-07-11,2020-07-30,2160.41,Late,77.99
PAY00325,LN1572,2020-08-10,2020-08-12,2134.07,On-time,0.0
PAY00326,LN0444,2020-03-02,2020-03-01,11424.72,On-time,0.0
PAY00327,LN2497,2019-09-12,2019-09-09,92168.12,On-time,0.0
PAY00328,LN2497,2019-10-12,2019-12-12,92319.96,Default,23275.24
PAY00329,LN2929,2020-02-06,2020-02-06,16458.61,On-time,0.0
PAY00330,LN2929,2020-03-07,2020-03-05,16979.71,On-time,0.0
PAY00331,LN2929,2020-04-06,2020-04-07,16789.41,On-time,0.0
PAY00332,LN2929,2020-05-06,2020-05-05,16696.82,On-time,0.0
PAY00333,LN1676,2022-08-22,2022-09-08,36906.43,Late,1252.32
PAY00334,LN1109,2022-12-10,2022-12-12,25731.68,On-time,0.0
PAY00335,LN1109,2023-01-09,2023-01-07,26230.43,On-time,0.0
PAY00336,LN1762,2019-10-20,2019-10-20,20795.0,On-time,0.0
PAY00337,LN1762,2019-11-19,2019-11-17,20500.64,On-time,0.0
PAY00338,LN1762,2019-12-19,2020-04-06,20522.57,Default,4101.94
PAY00339,LN1762,2020-01-18,2020-01-17,20265.36,On-time,0.0
PAY00340,LN3307,2020-01-19,2020-01-20,15817.55,On-time,0.0
PAY00341,LN2977,2020-10-12,2020-10-11,43179.46,On-time,0.0
PAY00342,LN1135,2019-11-17,2019-11-17,8530.31,On-time,0.0
PAY00343,LN1135,2019-12-17,2019-12-16,8252.82,On-time,0.0
PAY00344,LN1135,2020-01-16,2020-01-14,8352.29,On-time,0.0
PAY00345,LN1135,2020-02-15,2020-02-14,8500.75,On-time,0.0
PAY00346,LN1135,2020-03-16,2020-03-18,8169.53,On-time,0.0
PAY00347,LN1135,2020-04-15,2020-05-21,8228.26,Late,333.33
PAY00348,LN1216,2022-08-28,2022-11-30,4360.49,Default,727.29
PAY00349,LN3835,2024-10-22,2024-10-22,93856.04,On-time,0.0
PAY00350,LN2799,2019-08-03,2019-12-30,10224.22,Default,2275.45
PAY00351,LN3978,2022-02-05,2022-02-03,9238.39,On-time,0.0
PAY00352,LN3978,2022-03-07,2022-03-28,9220.74,Late,669.2
PAY00353,LN3978,2022-04-06,2022-08-30,9315.1,Default,1613.52
PAY00354,LN3978,2022-05-06,2022-08-08,8916.5,Default,1638.16
PAY00355,LN0458,2022-12-27,2022-12-27,79024.49,On-time,0.0
PAY00356,LN0458,2023-01-26,2023-01-25,78907.85,On-time,0.0
PAY00357,LN0458,2023-02-25,2023-02-26,82301.25,On-time,0.0
PAY00358,LN3701,2022-07-07,2022-07-05,72488.39,On-time,0.0
PAY00359,LN3701,2022-08-06,2022-08-05,72876.87,On-time,0.0
PAY00360,LN1596,2024-03-13,2024-03-15,111029.5,On-time,0.0
PAY00361,LN1596,2024-04-12,2024-04-09,111482.34,On-time,0.0
PAY00362,LN0392,2020-02-08,2020-02-09,5770.77,On-time,0.0
PAY00363,LN3979,2022-03-07,2022-03-08,57817.29,On-time,0.0
PAY00364,LN3979,2022-04-06,2022-04-07,59588.43,On-time,0.0
PAY00365,LN0551,2022-12-23,2022-12-24,15062.45,On-time,0.0
PAY00366,LN1530,2019-08-26,2019-08-23,8930.66,On-time,0.0
PAY00367,LN1530,2019-09-25,2019-09-26,8800.34,On-time,0.0
