loan_id,customer_id,branch_id,loan_type_id,loan_amount,interest_rate,loan_date,tenure_months
LN0103,CUST370,BR013,LT01,434000,13.07,2023-03-08,12
LN0104,CUST292,BR012,LT02,9798000,9.89,2019-12-25,120
LN0105,CUST746,BR015,LT04,2195000,13.24,2020-11-01,120
LN0106,CUST747,BR014,LT01,314000,13.3,2021-05-01,36
LN0107,CUST487,BR017,LT05,11000,20.79,2023-03-20,3
LN0108,CUST007,BR014,LT03,483000,9.8,2024-03-07,60
LN0109,CUST774,BR005,LT01,425000,14.7,2024-07-02,12
LN0110,CUST843,BR010,LT04,1659000,11.63,2024-03-13,60
LN0111,CUST028,BR001,LT01,185000,14.36,2024-04-19,12
LN0112,CUST670,BR010,LT02,5427000,11.0,2021-09-29,120
LN0113,CUST123,BR009,LT02,9736000,10.49,2023-01-21,240
LN0114,CUST493,BR019,LT02,3321000,9.09,2020-05-04,180
LN0115,CUST525,BR019,LT01,167000,14.52,2020-08-21,36
LN0116,CUST473,BR005,LT02,1476000,8.31,2022-12-29,120
LN0117,CUST297,BR010,LT03,1411000,11.52,2021-01-20,12
LN0118,CUST614,BR006,LT03,1321000,9.38,2022-05-18,36
LN0119,CUST702,BR012,LT01,311000,13.23,2019-02-22,24
LN0120,CUST531,BR010,LT02,5364000,8.82,2020-10-29,120
LN0121,CUST224,BR005,LT03,1264000,10.75,2024-11-23,60
LN0122,CUST730,BR018,LT04,4052000,12.38,2019-11-09,36
LN0123,CUST839,BR005,LT05,51000,20.33,2023-01-25,6
LN0124,CUST837,BR015,LT05,62000,20.88,2022-11-02,6
LN0125,CUST727,BR010,LT01,417000,11.92,2020-08-06,24
LN0126,CUST315,BR005,LT01,491000,14.89,2020-04-02,12
LN0127,CUST020,BR016,LT04,404000,12.56,2024-10-04,36
LN0128,CUST481,BR004,LT05,9000,20.17,2019-02-12,3
LN0129,CUST802,BR004,LT05,25000,19.83,2021-01-26,9
LN0130,CUST030,BR003,LT01,386000,11.18,2022-11-25,36
LN0131,CUST165,BR017,LT04,3142000,9.63,2019-10-07,36
LN0132,CUST840,BR019,LT04,2738000,13.65,2022-02-28,60
LN0133,CUST924,BR018,LT01,376000,14.13,2024-08-27,48
LN0134,CUST376,BR019,LT01,353000,12.1,2022-12-24,48
LN0135,CUST435,BR007,LT03,671000,11.23,2022-07-11,12
LN0136,CUST478,BR004,LT03,794000,10.47,2022-03-26,60
LN0137,CUST740,BR002,LT01,272000,12.98,2024-02-15,60
LN0138,CUST754,BR010,LT03,1278000,10.1,2023-07-27,36
LN0139,CUST876,BR014,LT01,81000,13.21,2024-05-02,36
LN0140,CUST184,BR001,LT05,52000,19.65,2023-11-30,3
LN0141,CUST123,BR005,LT02,7255000,10.87,2020-11-22,120
LN0142,CUST373,BR007,LT02,6355000,10.09,2020-05-17,120
LN0143,CUST859,BR014,LT04,1537000,12.72,2022-01-23,120
LN0144,CUST365,BR016,LT03,1430000,11.8,2024-09-25,36
LN0145,CUST151,BR015,LT01,163000,12.85,2020-07-05,12
LN0146,CUST102,BR002,LT04,2591000,13.21,2021-01-03,120
LN0147,CUST620,BR011,LT01,330000,14.89,2019-11-10,60
LN0148,CUST786,BR016,LT04,1169000,12.36,2024-07-01,84
LN0149,CUST556,BR011,LT04,2795000,14.27,2019-05-10,120
LN0150,CUST902,BR004,LT02,3831000,10.04,2024-02-26,120
LN0151,CUST034,BR006,LT03,1305000,11.49,2020-11-03,48
LN0152,CUST442,BR005,LT02,4502000,9.72,2024-07-02,240
LN0153,CUST568,BR018,LT03,766000,12.26,2024-09-06,12
LN0154,CUST401,BR009,LT02,9738000,9.98,2022-12-15,180
LN0155,CUST329,BR002,LT01,70000,12.55,2022-11-29,60
LN0156,CUST028,BR011,LT02,4853000,10.21,2023-08-15,180
LN0157,CUST058,BR008,LT01,342000,14.56,2019-09-26,36
LN0158,CUST118,BR011,LT01,292000,12.69,2023-09-27,60
LN0159,CUST528,BR014,LT01,363000,15.01,2022-07-20,48
LN0160,CUST585,BR013,LT02,1880000,9.92,2021-04-23,180
LN0161,CUST509,BR017,LT04,3403000,12.92,2022-05-11,84
LN0162,CUST993,BR014,LT01,336000,15.14,2019-11-05,60
LN0163,CUST220,BR010,LT01,184000,14.08,2021-07-14,60
LN0164,CUST761,BR003,LT04,2975000,13.32,2022-01-24,36
LN0165,CUST581,BR017,LT02,2888000,9.45,2022-05-21,240
LN0166,CUST824,BR010,LT02,5860000,10.67,2023-07-06,180
LN0167,CUST640,BR017,LT02,7871000,9.86,2019-03-18,240
LN0168,CUST721,BR017,LT05,60000,19.25,2024-03-29,9
LN0169,CUST960,BR018,LT04,4293000,14.45,2019-09-03,60
LN0170,CUST374,BR015,LT01,118000,13.7,2022-05-14,48
LN0171,CUST421,BR011,LT05,92000,22.13,2023-08-17,9
LN0172,CUST844,BR010,LT03,459000,10.89,2023-07-21,24
LN0173,CUST117,BR005,LT01,161000,15.42,2024-03-16,48
LN0174,CUST574,BR014,LT02,9151000,9.29,2022-01-22,120
LN0175,CUST030,BR009,LT04,1533000,10.45,2019-06-22,120
LN0176,CUST802,BR001,LT01,453000,13.24,2022-05-05,12
LN0177,CUST923,BR014,LT05,69000,19.42,2023-06-14,6
LN0178,CUST242,BR004,LT03,800000,10.15,2024-11-21,36
LN0179,CUST509,BR003,LT01,105000,14.56,2022-09-10,60
LN0180,CUST755,BR013,LT04,3771000,15.13,2021-06-11,60
LN0181,CUST110,BR006,LT01,174000,13.39,2019-08-18,48
LN0182,CUST547,BR012,LT03,258000,11.65,2024-04-29,24
LN0183,CUST987,BR009,LT05,94000,18.54,2023-02-15,9
LN0184,CUST022,BR020,LT01,383000,13.07,2019-08-12,24
LN0185,CUST260,BR018,LT02,6751000,6.41,2020-05-14,240
LN0186,CUST888,BR008,LT05,42000,19.62,2023-05-29,9
LN0187,CUST309,BR003,LT05,77000,21.71,2020-10-18,12
LN0188,CUST647,BR011,LT05,78000,18.95,2019-05-19,9
LN0189,CUST888,BR003,LT04,4714000,12.18,2023-08-19,84
LN0190,CUST735,BR014,LT05,83000,18.22,2021-12-04,3
LN0191,CUST361,BR014,LT03,1239000,12.61,2024-01-31,12
LN0192,CUST781,BR002,LT03,357000,11.97,2020-07-11,12
LN0193,CUST411,BR007,LT03,539000,8.95,2020-10-08,24
LN0194,CUST529,BR005,LT04,3492000,13.25,2022-08-01,120
LN0195,CUST490,BR005,LT01,359000,14.74,2022-02-28,24
LN0196,CUST087,BR014,LT02,4541000,9.61,2021-07-08,120
LN0197,CUST971,BR001,LT05,66000,18.72,2019-12-31,12
LN0198,CUST204,BR009,LT04,1010000,12.54,2023-10-23,84
LN0199,CUST153,BR003,LT05,21000,19.44,2019-02-27,12
LN0200,CUST792,BR015,LT04,2572000,12.34,2021-04-12,60
LN0201,CUST969,BR009,LT01,272000,14.66,2021-04-26,60
LN0202,CUST221,BR010,LT04,1109000,11.68,2020-08-20,36
LN0203,CUST298,BR009,LT01,253000,14.17,2024-02-20,12
LN0204,CUST011,BR016,LT01,195000,14.52,2021-05-19,48
LN0205,CUST726,BR014,LT04,1430000,13.21,2019-08-29,36
LN0206,CUST341,BR008,LT02,4189000,8.86,2019-07-06,120
LN0207,CUST260,BR017,LT03,524000,7.6,2023-02-28,24
LN0208,CUST992,BR018,LT01,131000,12.83,2024-07-11,36
LN0209,CUST899,BR015,LT01,193000,11.99,2020-08-03,36
LN0210,CUST120,BR011,LT01,108000,13.52,2022-02-24,36
LN0211,CUST949,BR014,LT01,445000,14.03,2021-12-16,60
LN0212,CUST321,BR014,LT05,35000,20.15,2020-09-11,12
LN0213,CUST055,BR007,LT01,153000,14.29,2021-12-01,24
LN0214,CUST723,BR015,LT02,9957000,9.23,2019-06-17,180
LN0215,CUST366,BR018,LT02,5437000,9.31,2020-08-29,120
LN0216,CUST358,BR003,LT01,178000,14.09,2024-09-14,36
LN0217,CUST577,BR019,LT01,499000,14.12,2021-01-09,48
LN0218,CUST943,BR003,LT01,274000,14.84,2022-09-08,12
LN0219,CUST292,BR004,LT02,6313000,9.97,2022-08-18,120
LN0220,CUST030,BR003,LT02,7369000,6.88,2022-01-08,240
LN0221,CUST674,BR001,LT02,1395000,8.9,2024-01-30,180
LN0222,CUST971,BR019,LT01,438000,12.89,2022-03-04,36
LN0223,CUST818,BR002,LT04,2826000,13.28,2020-01-15,120
LN0224,CUST262,BR006,LT01,397000,13.34,2019-03-26,24
LN0225,CUST167,BR013,LT04,1568000,13.76,2020-09-23,36
LN0226,CUST306,BR016,LT04,3732000,11.73,2020-06-21,84
LN0227,CUST682,BR004,LT04,2661000,13.6,2023-05-09,120
LN0228,CUST275,BR019,LT03,226000,11.09,2023-02-17,60
LN0229,CUST191,BR014,LT03,230000,10.91,2024-03-13,24
LN0230,CUST664,BR005,LT05,55000,19.87,2019-12-10,9
LN0231,CUST480,BR014,LT01,411000,13.47,2020-06-07,36
LN0232,CUST862,BR008,LT03,514000,9.65,2019-11-10,12
LN0233,CUST526,BR004,LT03,678000,8.86,2021-11-03,36
LN0234,CUST261,BR019,LT01,277000,12.43,2024-03-10,24
LN0235,CUST806,BR006,LT04,417000,12.27,2022-05-04,84
LN0236,CUST602,BR015,LT04,2360000,14.37,2022-10-30,60
LN0237,CUST217,BR006,LT01,492000,13.61,2020-03-11,48
LN0238,CUST548,BR001,LT01,103000,13.3,2024-05-08,48
LN0239,CUST709,BR013,LT05,97000,20.33,2024-06-16,9
LN0240,CUST634,BR020,LT02,7064000,10.38,2023-06-06,180
LN0241,CUST090,BR005,LT01,136000,14.62,2021-02-09,12
LN0242,CUST215,BR016,LT03,1010000,10.8,2021-02-20,12
LN0243,CUST309,BR015,LT01,240000,15.53,2020-09-16,48
LN0244,CUST987,BR016,LT02,8738000,8.27,2021-04-04,180
LN0245,CUST584,BR013,LT01,54000,12.88,2023-11-04,48
LN0246,CUST869,BR016,LT04,3060000,13.93,2022-04-06,36
LN0247,CUST500,BR013,LT02,6319000,7.85,2024-06-21,120
LN0248,CUST732,BR002,LT03,691000,10.09,2019-09-18,36
LN0249,CUST915,BR014,LT05,16000,17.86,2022-11-21,12
LN0250,CUST715,BR014,LT01,180000,12.17,2022-11-09,48
LN0251,CUST238,BR017,LT01,459000,14.65,2024-04-02,24
LN0252,CUST905,BR010,LT04,2074000,12.75,2023-01-15,120
LN0253,CUST819,BR006,LT03,495000,10.09,2024-05-31,24
LN0254,CUST178,BR007,LT01,271000,12.42,2024-07-15,36
LN0255,CUST241,BR007,LT03,1499000,9.49,2021-12-04,36
LN0256,CUST694,BR006,LT01,437000,14.69,2019-09-18,36
LN0257,CUST441,BR004,LT03,269000,12.31,2021-11-22,36
LN0258,CUST804,BR012,LT04,3896000,14.74,2020-09-11,36
LN0259,CUST724,BR002,LT05,47000,21.74,2020-03-30,3
LN0260,CUST801,BR020,LT03,1302000,10.34,2019-06-21,60
LN0261,CUST108,BR006,LT03,1319000,12.01,2020-10-05,36
LN0262,CUST726,BR015,LT04,2592000,13.98,2020-09-23,84
LN0263,CUST343,BR005,LT01,141000,15.09,2019-01-27,24
LN0264,CUST855,BR016,LT02,5545000,9.47,2023-03-06,240
LN0265,CUST773,BR014,LT02,6985000,9.23,2024-12-09,180
LN0266,CUST807,BR008,LT01,243000,13.58,2024-02-23,60
LN0267,CUST814,BR012,LT05,47000,20.64,2024-10-20,3
LN0268,CUST087,BR011,LT02,9838000,9.39,2019-09-09,180
LN0269,CUST778,BR002,LT03,998000,10.77,2019-08-25,60
LN0270,CUST997,BR010,LT02,8972000,10.72,2022-05-31,240
LN0271,CUST761,BR011,LT05,6000,20.01,2024-12-01,6
LN0272,CUST718,BR013,LT02,2846000,9.68,2023-12-17,240
LN0273,CUST354,BR013,LT04,4429000,12.88,2022-10-02,120
LN0274,CUST743,BR005,LT03,857000,11.78,2024-09-26,60
LN0275,CUST320,BR017,LT02,6721000,7.54,2021-11-25,120
LN0276,CUST853,BR010,LT04,4937000,14.46,2019-09-03,84
LN0277,CUST266,BR017,LT02,1430000,11.45,2020-05-25,180
LN0278,CUST306,BR019,LT04,2375000,11.79,2024-12-24,60
LN0279,CUST359,BR010,LT01,403000,14.44,2020-07-27,48
LN0280,CUST533,BR008,LT01,282000,11.65,2023-01-19,48
LN0281,CUST101,BR005,LT04,4177000,12.69,2019-09-12,120
LN0282,CUST910,BR005,LT02,5015000,9.61,2024-11-25,180
LN0283,CUST603,BR018,LT03,653000,10.83,2024-08-05,48
LN0284,CUST451,BR016,LT04,2201000,13.05,2024-09-02,60
LN0285,CUST497,BR015,LT01,367000,14.43,2020-04-28,24
LN0286,CUST467,BR016,LT01,121000,14.08,2020-05-01,60
LN0287,CUST873,BR014,LT01,216000,13.04,2024-11-11,24
LN0288,CUST121,BR012,LT02,4370000,8.31,2019-04-25,120
LN0289,CUST146,BR019,LT02,9431000,8.25,2022-03-07,120
LN0290,CUST188,BR016,LT01,296000,13.95,2019-07-03,48
LN0291,CUST493,BR019,LT02,5071000,8.74,2023-03-26,180
LN0292,CUST855,BR020,LT01,112000,14.52,2024-01-17,48
LN0293,CUST153,BR011,LT01,331000,13.49,2023-05-06,24
LN0294,CUST922,BR013,LT02,1412000,10.55,2023-12-20,240
LN0295,CUST285,BR003,LT05,72000,21.02,2022-06-19,3
LN0296,CUST660,BR018,LT01,480000,15.73,2019-08-05,60
LN0297,CUST535,BR007,LT04,2613000,13.02,2024-12-18,60
LN0298,CUST986,BR001,LT01,143000,13.02,2023-12-25,12
LN0299,CUST827,BR018,LT03,663000,12.16,2019-04-06,36
LN0300,CUST448,BR006,LT02,8737000,8.48,2021-11-19,120
LN0301,CUST118,BR004,LT03,499000,9.83,2020-01-03,24
LN0302,CUST315,BR014,LT03,182000,12.43,2021-01-13,12
LN0303,CUST731,BR002,LT01,94000,12.22,2022-08-20,36
LN0304,CUST385,BR004,LT01,158000,11.86,2021-08-26,48
LN0305,CUST521,BR017,LT02,2036000,9.44,2024-03-18,240
LN0306,CUST417,BR003,LT02,4667000,8.88,2019-03-18,180
LN0307,CUST568,BR019,LT03,445000,11.96,2020-05-29,36
LN0308,CUST582,BR014,LT02,8617000,10.68,2020-08-06,180
LN0309,CUST554,BR006,LT04,2780000,12.09,2024-01-25,36
LN0310,CUST002,BR015,LT05,64000,21.47,2020-11-16,3
LN0311,CUST062,BR016,LT01,163000,14.18,2022-12-10,24
LN0312,CUST600,BR017,LT01,123000,14.56,2019-10-14,36
LN0313,CUST092,BR013,LT03,1263000,8.14,2022-02-18,48
LN0314,CUST216,BR020,LT03,1223000,11.94,2022-11-04,36
LN0315,CUST771,BR015,LT01,348000,14.26,2021-05-12,48
LN0316,CUST983,BR020,LT02,9226000,8.57,2019-01-09,240
LN0317,CUST488,BR001,LT05,69000,18.47,2024-06-25,12
LN0318,CUST552,BR003,LT04,3316000,13.39,2019-05-07,120
LN0319,CUST689,BR004,LT02,8315000,10.36,2023-01-06,180
LN0320,CUST182,BR001,LT01,217000,11.59,2019-02-08,24
LN0321,CUST761,BR001,LT04,3467000,13.44,2021-02-23,36
LN0322,CUST836,BR020,LT03,1232000,9.62,2024-07-15,36
LN0323,CUST038,BR009,LT02,7336000,10.67,2019-01-30,120
LN0324,CUST841,BR013,LT01,175000,13.39,2020-11-29,60
LN0325,CUST199,BR019,LT03,944000,10.93,2020-06-09,12
LN0326,CUST131,BR009,LT05,86000,19.56,2022-01-28,6
LN0327,CUST869,BR001,LT05,71000,20.91,2021-11-01,12
LN0328,CUST003,BR014,LT03,1420000,11.56,2022-08-16,48
LN0329,CUST865,BR014,LT01,356000,13.87,2023-01-20,60
LN0330,CUST778,BR002,LT05,26000,19.15,2023-09-17,12
LN0331,CUST324,BR001,LT02,4012000,11.13,2019-04-14,240
LN0332,CUST232,BR014,LT05,92000,18.41,2022-09-10,9
LN0333,CUST065,BR004,LT01,244000,14.72,2022-10-01,36
LN0334,CUST254,BR004,LT02,9629000,9.38,2022-09-28,240
LN0335,CUST814,BR008,LT05,79000,20.49,2020-01-27,12
LN0336,CUST593,BR004,LT01,77000,12.58,2022-07-07,12
LN0337,CUST802,BR005,LT01,411000,12.98,2023-11-04,12
LN0338,CUST105,BR002,LT03,513000,11.1,2020-01-28,60
LN0339,CUST771,BR014,LT01,320000,14.6,2019-02-13,48
LN0340,CUST394,BR015,LT04,4424000,14.43,2022-10-23,36
LN0341,CUST465,BR017,LT02,2732000,7.97,2019-10-04,240
LN0342,CUST809,BR007,LT05,17000,21.14,2022-12-26,12
LN0343,CUST493,BR020,LT02,3188000,9.2,2019-09-05,120
LN0344,CUST320,BR019,LT02,9638000,8.27,2022-06-28,240
LN0345,CUST907,BR018,LT04,908000,13.3,2022-11-05,84
LN0346,CUST378,BR001,LT03,1021000,11.18,2021-08-30,60
LN0347,CUST839,BR018,LT05,45000,20.22,2021-03-31,6
LN0348,CUST805,BR003,LT02,7011000,9.62,2024-03-29,240
LN0349,CUST710,BR011,LT05,59000,19.78,2022-05-12,12
LN0350,CUST337,BR006,LT01,444000,14.65,2024-07-24,24
LN0351,CUST943,BR001,LT03,1071000,12.22,2021-05-23,24
LN0352,CUST493,BR011,LT04,2004000,12.3,2019-01-28,84
LN0353,CUST011,BR003,LT02,5992000,9.47,2023-12-09,120
LN0354,CUST647,BR019,LT05,39000,19.52,2021-03-26,6
LN0355,CUST291,BR006,LT01,168000,12.34,2021-10-04,24
LN0356,CUST201,BR001,LT01,168000,13.83,2020-07-16,48
LN0357,CUST671,BR004,LT02,2892000,8.73,2023-02-23,180
LN0358,CUST677,BR006,LT05,98000,16.64,2023-11-12,3
LN0359,CUST122,BR005,LT05,17000,19.81,2024-12-21,12
LN0360,CUST712,BR012,LT02,4866000,9.73,2019-07-09,240
LN0361,CUST602,BR007,LT05,33000,20.71,2021-10-09,3
LN0362,CUST645,BR009,LT05,86000,19.78,2024-06-25,6
LN0363,CUST745,BR003,LT04,3997000,13.67,2020-11-16,120
LN0364,CUST770,BR017,LT02,5670000,9.97,2023-03-12,240
LN0365,CUST712,BR016,LT04,2575000,12.86,2023-07-01,36
LN0366,CUST213,BR008,LT05,48000,19.68,2021-06-14,9
LN0367,CUST436,BR013,LT03,1410000,11.97,2019-12-14,24
LN0368,CUST770,BR003,LT01,283000,14.52,2019-06-18,48
LN0369,CUST525,BR020,LT02,5060000,9.87,2023-02-14,180
LN0370,CUST325,BR009,LT02,2616000,9.73,2019-11-07,180
LN0371,CUST924,BR003,LT01,276000,13.76,2019-11-17,36
LN0372,CUST949,BR008,LT01,82000,13.46,2021-03-31,36
LN0373,CUST202,BR011,LT01,385000,14.02,2022-01-29,24
LN0374,CUST723,BR020,LT05,100000,19.55,2021-12-05,3
LN0375,CUST789,BR010,LT01,206000,15.18,2023-07-20,60
LN0376,CUST776,BR001,LT02,5614000,8.81,2020-09-03,180
LN0377,CUST234,BR008,LT04,1207000,11.61,2024-04-03,120
LN0378,CUST349,BR003,LT02,2691000,10.29,2023-09-07,120
LN0379,CUST450,BR015,LT05,8000,18.62,2020-06-09,9
LN0380,CUST966,BR001,LT02,6930000,10.33,2021-07-12,180
LN0381,CUST436,BR013,LT04,3514000,13.9,2019-04-06,36
LN0382,CUST945,BR005,LT01,479000,14.57,2023-05-21,48
LN0383,CUST210,BR013,LT01,224000,12.81,2022-09-08,60
LN0384,CUST986,BR015,LT03,527000,9.36,2020-12-28,12
LN0385,CUST847,BR020,LT02,2680000,7.44,2023-04-30,180
LN0386,CUST211,BR008,LT01,286000,14.1,2023-02-18,60
LN0387,CUST012,BR006,LT02,9188000,9.56,2020-03-29,120
LN0388,CUST550,BR014,LT02,1619000,8.92,2021-04-25,120
LN0389,CUST892,BR007,LT02,8361000,9.76,2020-10-12,240
LN0390,CUST589,BR010,LT03,803000,10.11,2022-02-02,24
LN0391,CUST008,BR005,LT02,8421000,8.49,2021-10-08,240
LN0392,CUST337,BR019,LT05,49000,20.32,2020-01-09,9
LN0393,CUST662,BR015,LT02,8584000,11.12,2023-05-21,240
LN0394,CUST844,BR006,LT02,2616000,9.41,2023-11-05,180
LN0395,CUST394,BR006,LT03,234000,12.51,2019-06-28,24
LN0396,CUST907,BR006,LT01,333000,14.28,2019-10-01,24
LN0397,CUST931,BR016,LT02,7857000,10.72,2023-02-19,120
LN0398,CUST774,BR004,LT03,1191000,11.82,2020-11-06,36
LN0399,CUST213,BR017,LT01,62000,14.09,2024-03-06,48
LN0400,CUST352,BR013,LT05,43000,18.94,2020-04-14,6
LN0401,CUST335,BR015,LT02,1614000,9.18,2021-09-19,240
LN0402,CUST973,BR015,LT01,419000,14.89,2020-11-29,12
LN0403,CUST622,BR004,LT01,106000,14.64,2020-11-20,12
